Month,Revenue_USD,Target_Revenue_USD,Orders_Completed,Orders_Pending,Orders_Cancelled,Avg_Processing_Time_Days,Customer_Satisfaction_Score,Team_Headcount,Cost_Per_Order_USD,On_Time_Delivery_Pct
Jan-2026,142500,150000,320,45,18,3.2,4.1,12,445,87
Feb-2026,138200,150000,298,52,22,3.8,3.9,12,463,83
Mar-2026,165800,155000,374,38,14,2.9,4.4,13,443,91
Apr-2026,171200,160000,389,41,11,2.7,4.5,13,440,93
May-2026,158900,165000,351,67,19,3.5,4.0,14,453,85
Jun-2026,143600,165000,312,89,28,4.1,3.7,14,460,79
Jul-2026,139800,165000,295,102,31,4.6,3.5,13,474,76
Aug-2026,152300,170000,338,78,24,3.9,3.8,13,451,82
Sep-2026,178400,170000,401,55,16,2.8,4.3,14,445,90
Oct-2026,182600,175000,418,48,12,2.6,4.6,15,437,94
Nov-2026,195200,180000,445,39,9,2.4,4.7,15,439,96
Dec-2026,188700,180000,427,44,13,2.5,4.5,15,442,95
